"review_id","archive_id","title_jp","years","proposed_analytical_context_id","review_priority","evidence_to_check","proposed_action","rationale","review_status","reviewer_notes"
"AC-FR-AFR-001","2013-2429","中共・アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-002","2013-2430","中共・アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-003","2013-2431","中共・アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-004","2013-2432","中共・アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-005","2013-2433","中共・中近東、アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-006","2013-2434","中共・中近東、アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-007","2013-2435","中共・中近東、アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-008","2013-2436","中共・中近東、アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-009","2013-2437","中共・中近東、アフリカ諸国関係",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","HIGH","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","PRC relations with Africa/Middle East-Africa; check for former French colonies, Francophone Africa, France-Africa networks, or recognition competition in French postcolonial space.","OPEN",""
"AC-FR-AFR-010","2012-3234","フランス・中共外交関係樹立",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","MEDIUM","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","France-PRC diplomatic relations; check whether African/French colonial or Francophone recognition diplomacy appears.","OPEN",""
"AC-FR-AFR-011","A'.7.1.0.10-3","コンゴー動乱 諸外国の態度（第二巻）",,"FRENCH_COLONIAL_LEGACY_IN_AFRICA","MEDIUM","目次;史料概要;画像本文;国名小見出し;フランス語圏/旧仏領/フランスの対アフリカ影響への言及","REVIEW_BEFORE_ASSIGNING","Congo Crisis; verify whether this concerns Congo-Leopoldville/DRC (Belgian legacy) or Congo-Brazzaville/French Equatorial Africa before applying.","OPEN",""
