"tag_type","tag_id","preferred_label_en","preferred_label_jp","vocabulary_source"
"analytical_context","COLD_WAR_IN_SOUTHEAST_ASIA","Cold War in Southeast Asia","東南アジアにおける冷戦","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA","Cold War Security Architecture in Asia","アジアにおける冷戦期安全保障構造","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COMMUNIST_PARTY_POLITICS","Communist Party Politics","共産党政治","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","DECOLONIZATION_AND_UN_DIPLOMACY","Decolonization and UN Diplomacy","脱植民地化と国連外交","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","FRENCH_COLONIAL_LEGACY_IN_AFRICA","French Colonial Legacy in Africa","アフリカにおけるフランス植民地遺産","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION","Postcolonial States and China Representation","ポストコロニアル諸国と中国代表権問題","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","PRC_VIETNAM_RIVALRY","PRC-Vietnam Rivalry","中越対立／中国・ベトナム対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_IDEOLOGICAL_CONFLICT","Regional Ideological Conflict","地域的イデオロギー対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_SECURITY_IN_SOUTHEAST_ASIA","Regional Security in Southeast Asia","東南アジアの地域安全保障","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","SINO_SOVIET_RIVALRY_IN_SOUTHEAST_ASIA","Sino-Soviet Rivalry in Southeast Asia","東南アジアにおける中ソ対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","SOUTHEAST_ASIAN_COMMUNIST_POLITICS","Southeast Asian Communist Politics","東南アジア共産主義政治","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","Third World Responses to China Representation","第三世界の中国代表権問題への反応","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","US_ALLIANCE_SYSTEM_IN_ASIA","US Alliance System in Asia","アジアにおける米国同盟体制","controlled_vocabulary_analytical_contexts_v05.csv"
"bloc","AFRICAN_GROUP","African Group","アフリカ・グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","ASIAN_COMMUNIST_BLOC","Asian Communist Bloc","アジア共産圏","controlled_vocabulary_blocs_v02.csv"
