entity_id,preferred_label_en,preferred_label_jp,entity_type,iso_alpha3,temporal_scope,use_when,source_terms_aliases,notes
PRC,People's Republic of China,中華人民共和国,state/government,CHN,1949-present; UN seat from 1971; Japan diplomatic relations from 1972,"Use when the record clearly refers to the PRC government/state, including Japanese archival terms such as 中共.",PRC; People's Republic of China; Communist China; Red China; Peking/Beijing Government; 中共; 中華人民共和国; 北京政府,Preferred controlled term for 中共 in Japanese Cold War diplomatic records. Use CHN_AMBIG only when the intended China entity cannot be resolved.
ROC,Republic of China,中華民国,state/government,,1912-present; held UN China seat until 1971; Japan diplomatic relations until 1972,"Use when the record refers to the ROC government, Nationalist China, or the Chinese Nationalist authorities.",ROC; Republic of China; Nationalist China; Kuomintang Government; Chiang Kai-shek Government; Nationalist Government; 国府; 中華民国; 蒋介石政権; 台北政府,"Use for the ROC government/state actor. Often associated with Taiwan after 1949; use TWN separately for Taiwan as place, society, or territory."
TWN,Taiwan,台湾,territory/place,TWN,1945-present,"Use for Taiwan as a place/society/economy, or when the record concerns Taiwan without necessarily referring to the ROC government as diplomatic actor.",Taiwan; Formosa; 台湾; フォルモサ,"Use for Taiwan as place, society, territory, or the Taiwan question. Use ROC when the diplomatic actor is the Republic of China government."
CHN_AMBIG,China (ambiguous/representation question),中国（曖昧／代表権問題）,ambiguous historical reference,,"Use especially for records where China may refer to PRC, ROC, or the China seat/representation issue","Use only when the source title or document uses 中国/China and the intended entity cannot be resolved, or when the record is about the China representation question itself.",China; 中国; 中国代表権; China seat; Chinese representation,Use only when 中国/China is ambiguous or when the record is about the China seat/representation issue as such. Do not use as a normal country tag.
JPN,Japan,日本,state,JPN,1945-present,"Use for Japanese policy, Japanese reactions, Japan-related bilateral relations, or MOFA-origin records where Japan is a subject.",Japan; 日本; 日; Japanese Government,"Often implicit in MOFA records; tag only when Japan is a substantive subject, not merely the archive origin."
USA,United States,米国,state,USA,1945-present,"Use for U.S. politics, U.S. visits, U.S.-Japan consultations, or U.S. policy toward China.",United States; USA; U.S.; America; 米国; アメリカ,
USSR,Soviet Union,ソ連,state/historical,SUN,1922-1991,"Use for Soviet Union as an actor, including Sino-Soviet relations and Japan-Soviet consultations.",Soviet Union; USSR; Soviet; ソ連; ソヴィエト,"Use USSR, not Russia, for Cold War Soviet records."
FRA,France,フランス,state,FRA,1945-present,"Use for France, especially PRC-France diplomatic recognition/relations.",France; French; フランス; 仏; 仏国,
GBR,United Kingdom,英国,state,GBR,1945-present,"Use for UK/Britain, including Japan-UK consultations and British China policy.",United Kingdom; UK; Great Britain; Britain; British; 英国; イギリス,
IND,India,インド,state,IND,1947-present,"Use for India, including the Sino-Indian border conflict.",India; Indian; インド,
MMR,Myanmar/Burma,ビルマ／ミャンマー,state,MMR,1948-present,"Use for Burma/Myanmar. For Cold War records, original titles may use Burma.",Burma; Myanmar; Burmese; ビルマ; ミャンマー,Preferred label keeps both names because Cold War Japanese records often use ビルマ.
NZL,New Zealand,ニュージーランド,state,NZL,1947-present,Use for New Zealand diplomacy.,New Zealand; ニュー・ジーランド; ニュージーランド,
KHM,Cambodia,カンボディア／カンボジア,state,KHM,1953-present,"Use for Cambodia, Cambodian question, or Government of the National Union of Cambodia.",Cambodia; Kampuchea; カンボディア; カンボジア; カンプチア,Japanese archival titles may use カンボディア.
AFG,Afghanistan,アフガニスタン,state,AFG,1919-present,Use for Afghanistan-related records.,Afghanistan; Afghan; アフガニスタン,
IRN,Iran,イラン,state,IRN,1945-present,"Use for Iran, including Iran-Iraq issues.",Iran; Persia; Iranian; イラン,
IRQ,Iraq,イラク,state,IRQ,1932-present,"Use for Iraq, including Iran-Iraq issues and ministerial visits.",Iraq; Iraqi; イラク,
TUR,Turkey,トルコ,state,TUR,1923-present,Use for Turkey diplomacy.,Turkey; Turkish; Türkiye; トルコ,
DEU_W,West Germany / Federal Republic of Germany,西ドイツ／ドイツ連邦共和国,state/historical,DEU,1949-1990,Use for West Germany/FRG in Cold War records.,West Germany; Federal Republic of Germany; FRG; 西独; 西ドイツ; ドイツ連邦共和国,Use DEU only for post-1990 Germany if needed; for Cold War records use DEU_W.
SAU,Saudi Arabia,サウディ・アラビア,state,SAU,1932-present,"Use for Saudi Arabia, including ministerial visits and Middle East diplomacy.",Saudi Arabia; Saudi; サウディ・アラビア; サウジアラビア,
EGY,Egypt,エジプト,state,EGY,1952-present,"Use for Egypt/UAR-related records, including Middle East and Africa diplomacy.",Egypt; United Arab Republic; UAR; Egyptian; エジプト; アラブ連合共和国,"For 1958-1971 records, UAR may refer to Egypt; preserve source term in notes if necessary."
