"review_id","priority","archive_id","title_jp","current_event_ids","candidate_event_ids","issue_type","evidence","recommended_action","review_question","source_fields","review_status","reviewer_notes"
"CR-001","MEDIUM","A'.2.4.1.C(C))1-1","周恩来首相アジア・アフリカ諸国及びアルバニア訪問（第一巻・第二巻）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-002","MEDIUM","2011-0710","日中国交正常化（諸外国の反応）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-003","MEDIUM","2011-0712","日中国交正常化（諸外国の反応）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-004","MEDIUM","2011-0714","日中国交正常化（田中総理中国訪問（諸外国の反応））","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-005","HIGH","2013-3308","日中関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-006","HIGH","2016-0275","日中関係(総理/大臣等発言要領)","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-007","MEDIUM","2014-3076","華国鋒中国国務院総理訪日/報道振り返り","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-008","HIGH","2013-2429","中共・アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-009","HIGH","2013-2430","中共・アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-010","HIGH","2013-2431","中共・アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
